model_id,yes_no_gap,omission_gap,moral_bias_mean,exp2_moral_bias,exp3_moral_bias,sycophancy_wrong_belief,structured_cr_wrong_belief,polarity_gap_abs,critique_revise_reduction,debate_reduction,provider_family,model_line,variant_type,deployment,openness,size_class,training_state,reasoning_or_speed_profile,cost_tier,feature_coverage,baseline_moral_bias_mean,yes_no_gap_confirmatory,omission_gap_confirmatory,cross_dataset_stability,method_sensitivity_sd,debate_reduction_confirmatory,latency_multiplier_debate,token_multiplier_debate,sycophancy_wrong_belief_rate,sycophancy_accuracy,anti_sycophancy_truth_first_reduction,counterfactual_consistency_vote_reduction,latency_multiplier_counterfactual,token_multiplier_counterfactual,model_family,provider,open_or_closed,local_or_api,approx_size,training_stage,best_value_score
pilot_deepseek_joint_top3,,,,,,0.140625,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,DeepSeek,DeepSeek,closed_or_api,api,unknown,unknown,
qwen3_32b_awq,,,,,,,,,,,,,,,,,,,,,0.1934523809523809,0.3601190476190476,0.0267857142857142,,0.0578733228649704,-0.0818452380952381,,,,,,,,,Qwen,Qwen,closed_or_api,unknown,32B,unknown,
qwen3_32b_local,0.3601190476190476,0.0267857142857142,0.1934523809523809,0.1934523809523809,,,,0.0833333333333333,,-0.0818452380952381,qwen,qwen3,32b_local,local,open_weights,32b,base_or_instruct,local_large,local,0.6,,,,,,,,,,,,,,,Qwen,Qwen,closed_or_api,unknown,32B,unknown,
qwen3_4b_base,0.7777777777777778,0.8333333333333334,0.8055555555555555,1.0,1.0,0.25,,0.3333333333333333,,,qwen,qwen3,4b_local,local,open_weights,4b,base_or_instruct,local_small,local,0.7,0.9449404761904764,0.9449404761904764,0.9449404761904764,0.8898809523809524,0.6681738185319311,,,,,,,0.9449404761904764,3.076337868021194,3.1383325703822385,Qwen,Qwen,open,local,4B,unknown,0.3010963481398613
qwen3_4b_expanded_sft,0.1701388888888889,0.2008928571428571,0.185515873015873,0.0,0.1607142857142857,0.15625,,,,,qwen,qwen3,4b_local_sft,local,open_weights,4b,sft_debiased,local_small,local,0.6,,,,,,,,,,,,,,,Qwen,Qwen,open,local,4B,unknown,
qwen3_4b_expanded_sft_dpo,0.0,0.2678571428571428,0.1339285714285714,0.0,0.2678571428571428,0.25,,,,,qwen,qwen3,4b_local_sft_dpo,local,open_weights,4b,sft_dpo_debiased,local_small,local,0.6,,,,,,,,,,,,,,,Qwen,Qwen,open,local,4B,unknown,
qwen3_4b_structured_cr_sft,,,,,,,0.0625,,,,qwen,qwen3,4b_local_structured_cr_sft,local,open_weights,4b,sft_structured_cr,local_small,local,0.1,,,,,,,,,,,,,,,Qwen,Qwen,open,local,4B,unknown,
qwen3_8b_base,,,,,,,,,,,,,,,,,,,,,0.9583333333333331,1.0,0.9166666666666669,0.9166666666666666,0.677643998637108,,,,,,,0.9583333333333331,3.035463633942208,3.1383325703822385,Qwen,Qwen,open,local,8B,unknown,0.3053638554363317
smoke_api_sycophancy_methods,,,,,,0.0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,unknown,unknown,closed_or_api,unknown,unknown,unknown,
smoke_nvidia_kimi25_std_cr,,,,,,0.0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,unknown,unknown,closed_or_api,unknown,unknown,unknown,
zhipu_glm51,0.3630952380952381,0.5,0.431547619047619,0.0833333333333333,0.7797619047619048,,,,,,glm,glm-5.1,chat_api,api,closed_or_hosted,large_unknown,api_aligned,general_commercial,low,0.5,0.431547619047619,0.3630952380952381,0.5,0.3035714285714285,,,,,,,,,,,GLM,GLM,closed_or_api,api,unknown,unknown,
