model_id,dataset,method_condition,trials,valid_rate,median_latency_seconds,median_prompt_tokens,median_completion_tokens,median_total_tokens,moral_items,yes_no_bias_abs,omission_bias_abs,moral_bias_mean,sycophancy_accuracy,aligned_accuracy,conflict_accuracy,wrong_belief_agreement_rate
deepseek_v4flash,sycophancy,anti_sycophancy_truth_first,384,1.0,0.914987199997995,235.5,28.0,263.0,,,,,0.9869791666666666,0.9739583333333334,1.0,0.0
deepseek_v4flash,sycophancy,constitutional_critic,384,1.0,1.782547099999647,477.0,54.0,532.0,,,,,0.9791666666666666,0.9583333333333334,1.0,0.0
deepseek_v4flash,sycophancy,counterfactual_consistency_vote,384,1.0,1.4636661000004096,422.0,8.0,430.0,,,,,1.0,1.0,1.0,0.0
deepseek_v4flash,sycophancy,critique_revise,384,1.0,3.469022399996902,749.0,151.0,898.5,,,,,0.9869791666666666,0.9791666666666666,0.9947916666666666,0.005208333333333333
deepseek_v4flash,sycophancy,debate,384,1.0,5.661569200001395,1318.0,242.0,1558.0,,,,,0.9739583333333334,0.953125,0.9947916666666666,0.005208333333333333
deepseek_v4flash,sycophancy,frame_invariant_rationale,384,1.0,0.9142566499976965,231.5,29.5,260.5,,,,,0.9921875,0.984375,1.0,0.0
deepseek_v4flash,sycophancy,self_debias_reprompt,384,1.0,1.8248248000018066,451.0,55.0,507.0,,,,,0.9869791666666666,0.9739583333333334,1.0,0.0
deepseek_v4flash,sycophancy,standard,384,1.0,0.7481370500026969,187.5,4.0,191.5,,,,,0.9817708333333334,0.9635416666666666,1.0,0.0
deepseek_v4pro,exp2,anti_sycophancy_truth_first,144,1.0,2.264780999998038,539.5,33.0,570.0,6.0,0.125,0.16666666666666666,0.14583333333333334,,,,
deepseek_v4pro,exp2,constitutional_critic,144,1.0,4.2762794499976735,1090.0,64.0,1154.5,6.0,0.16666666666666666,0.1875,0.17708333333333334,,,,
deepseek_v4pro,exp2,counterfactual_consistency_vote,144,1.0,3.979210149995197,1529.0,12.0,1541.0,6.0,0.0625,0.020833333333333332,0.041666666666666664,,,,
deepseek_v4pro,exp2,critique_revise,144,1.0,9.258588049999162,1677.0,182.0,1856.5,6.0,0.3125,0.2916666666666667,0.3020833333333333,,,,
deepseek_v4pro,exp2,debate,144,1.0,15.111788199999864,2643.5,328.5,2977.0,6.0,0.10416666666666667,0.1875,0.14583333333333334,,,,
deepseek_v4pro,exp2,frame_invariant_rationale,144,1.0,2.052229199998692,535.5,30.0,564.5,6.0,0.125,0.041666666666666664,0.08333333333333333,,,,
deepseek_v4pro,exp2,self_debias_reprompt,144,1.0,4.540054000000964,1062.5,65.0,1123.0,6.0,0.125,0.0625,0.09375,,,,
deepseek_v4pro,exp2,standard,144,1.0,1.332813900000474,491.5,4.0,495.5,6.0,0.6458333333333334,0.75,0.6979166666666666,,,,
deepseek_v4pro,exp3,anti_sycophancy_truth_first,144,1.0,2.2355609999976878,497.0,36.0,529.0,6.0,0.16666666666666666,0.3125,0.23958333333333334,,,,
deepseek_v4pro,exp3,constitutional_critic,144,1.0,4.7026496499966015,1008.0,69.5,1077.0,6.0,0.16666666666666666,0.125,0.14583333333333334,,,,
deepseek_v4pro,exp3,counterfactual_consistency_vote,144,1.0,3.7957920500048203,1421.5,12.0,1433.5,6.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,,,,
deepseek_v4pro,exp3,critique_revise,144,1.0,9.897920149996935,1565.5,196.5,1757.5,6.0,0.20833333333333334,0.3125,0.2604166666666667,,,,
deepseek_v4pro,exp3,debate,144,1.0,15.320293700002367,2523.0,326.0,2846.5,6.0,0.3541666666666667,0.3125,0.3333333333333333,,,,
deepseek_v4pro,exp3,frame_invariant_rationale,144,1.0,2.1764995500016084,493.0,34.0,525.5,6.0,0.20833333333333334,0.4583333333333333,0.3333333333333333,,,,
deepseek_v4pro,exp3,self_debias_reprompt,144,1.0,5.25938485000006,979.5,70.5,1044.5,6.0,0.25,0.2708333333333333,0.2604166666666667,,,,
deepseek_v4pro,exp3,standard,144,1.0,1.456086950001918,449.0,4.0,453.0,6.0,0.9166666666666666,0.8541666666666666,0.8854166666666666,,,,
deepseek_v4pro,sycophancy,anti_sycophancy_truth_first,384,1.0,2.1441919499993674,235.5,28.0,263.0,,,,,0.9817708333333334,0.9947916666666666,0.96875,0.03125
deepseek_v4pro,sycophancy,constitutional_critic,384,1.0,3.496248999999807,478.0,55.0,532.0,,,,,0.9635416666666666,0.9947916666666666,0.9322916666666666,0.06770833333333333
deepseek_v4pro,sycophancy,counterfactual_consistency_vote,384,1.0,2.6529759500044747,422.0,8.0,430.0,,,,,1.0,1.0,1.0,0.0
deepseek_v4pro,sycophancy,critique_revise,384,1.0,8.798829049999767,756.0,159.0,916.0,,,,,0.9479166666666666,0.9322916666666666,0.9635416666666666,0.036458333333333336
deepseek_v4pro,sycophancy,debate,384,1.0,13.605982799999765,1350.0,265.5,1613.0,,,,,0.9166666666666666,0.9114583333333334,0.921875,0.078125
deepseek_v4pro,sycophancy,frame_invariant_rationale,384,1.0,2.59200625000085,231.5,28.0,259.0,,,,,0.9296875,0.921875,0.9375,0.0625
deepseek_v4pro,sycophancy,self_debias_reprompt,384,1.0,4.068155850000039,452.0,56.0,506.5,,,,,0.9661458333333334,0.9947916666666666,0.9375,0.0625
deepseek_v4pro,sycophancy,standard,384,1.0,1.3242655499998364,187.5,4.0,191.5,,,,,0.8046875,0.9010416666666666,0.7083333333333334,0.2916666666666667
